	C8 (1)	C8 (3)	Control (1)	Control (2)	Control (3)
prlC	0.021091	-0.000365	0.000275	-0.000550	0.000275
yhiR	0.067935	-0.045648	0.000000	0.000000	0.000000
gor	-0.028211	-0.007505	0.015758	-0.007505	-0.008693
arsR	-0.000102	0.004323	0.000354	-0.000023	-0.000331
arsB	-0.000335	-0.000217	0.000434	-0.000217	-0.000217
yhiS	-0.009910	-0.009681	-0.008654	0.019744	-0.011790
slp	0.068982	0.001380	0.001313	0.001313	-0.002638
dctR	0.112846	0.012984	-0.005915	-0.007368	0.012984
yhiD	0.275774	0.247444	-0.025054	0.008992	0.014997
hdeB	0.318717	0.326974	0.005098	-0.009644	0.004388
hdeA	0.302024	0.295233	-0.026101	0.016454	0.008479
hdeD	0.340604	0.300987	0.002930	0.002367	-0.005347
gadE	0.286747	0.367535	-0.000912	-0.004148	0.005010
mdtE	0.128590	0.093895	0.012804	-0.026800	0.012804
mdtF	0.086886	-0.001008	0.000387	0.000387	-0.000776
gadW	0.215323	0.113351	-0.028846	0.005993	0.021342
gadX	0.229810	0.194813	-0.025243	0.012094	0.012089
gadA	0.301027	0.231227	-0.018911	0.011084	0.007218
yhjA	0.000206	0.012131	0.000572	-0.000017	-0.000556
treF	0.041413	-0.002089	-0.013102	0.014738	-0.002089
yhjB	0.000041	0.014708	0.000126	-0.000167	0.000041
yhjC	0.000083	0.000083	0.000083	0.000083	-0.000166
yhjD	0.036117	0.000850	0.000850	0.000736	-0.001590
yhjE	0.086040	0.013897	-0.008109	0.013897	-0.006131
yhjG	-0.007353	-0.005755	0.010541	-0.004981	-0.005755
yhjH	-0.140975	-0.196022	0.004444	0.004935	-0.009534
kdgK	0.000209	0.000209	0.000209	-0.000418	0.000209
yhjJ	-0.000026	-0.000093	0.000454	-0.000093	-0.000362
dctA	0.002868	-0.002347	0.000000	0.000000	0.000000
yhjK	-0.001227	0.013178	0.000309	-0.000055	-0.000254
bcsC	0.000036	-0.000481	0.000678	-0.000319	-0.000360
bcsZ	0.037992	0.000082	0.000082	-0.000165	0.000082
bcsB	-0.000154	-0.000154	0.000307	-0.000154	-0.000154
bcsA	-0.000234	0.000019	0.000019	-0.000038	0.000019
yhjR	0.002998	-0.000131	0.000625	0.000289	-0.000916
bcsE	0.062618	0.005927	-0.001342	-0.004653	0.005927
bcsF	0.052306	0.017699	-0.000844	0.001307	-0.000466
bcsG	0.001617	0.000000	0.000000	0.000000	0.000000
yhjV	-0.000214	0.000181	0.000795	0.000181	-0.000978
dppF	-0.006714	-0.002130	-0.002130	-0.002130	0.004229
dppD	0.165583	-0.002703	0.000907	-0.001134	0.000225
dppC	0.019123	-0.005254	0.000000	0.000000	0.000000
dppB	0.038059	0.000950	0.000950	-0.001753	0.000798
dppA	0.034815	0.017159	-0.004979	0.001358	0.003576
eptB	0.026243	0.000188	0.001515	0.000390	-0.001912
yhjX	0.000046	0.000046	0.000046	-0.000093	0.000046
yhjY	0.014369	0.014317	-0.029851	0.014062	0.014317
tag	0.008714	0.000323	0.000894	0.000323	-0.001220
yiaC	-0.000085	-0.000085	0.000392	-0.000085	-0.000308
bisC	0.033243	-0.013082	0.003880	-0.007865	0.003880
yiaD	0.000201	0.000135	0.000135	-0.000089	-0.000046
ghrB	0.039795	0.001527	0.001527	-0.003070	0.001527
yiaF	-0.010522	-0.010522	-0.010522	0.020567	-0.010800
yiaG	0.082404	0.000879	0.000879	0.000166	-0.001048
cspA	-0.001443	-0.081223	0.008895	0.003894	-0.013093
insJ	-0.000806	0.000127	0.000481	-0.000470	-0.000012
insK	-0.000041	0.000000	0.000000	0.000000	0.000000
glyS	0.031279	-0.073026	0.000000	0.000000	0.000000
glyQ	0.012522	-0.034169	0.002923	-0.001469	-0.001469
wecH	-0.000176	-0.000405	0.000682	-0.000176	-0.000508
yiaB	-0.000795	-0.000727	0.002029	-0.000727	-0.001310
xylB	0.000184	0.000096	0.000411	0.000096	-0.000507
xylA	0.000445	0.000445	0.001078	0.000362	-0.001444
xylF	-0.018957	-0.020005	0.034867	-0.018543	-0.018543
xylG	-0.001241	0.008147	0.000537	-0.000166	-0.000371
xylH	-0.003170	-0.003141	0.006803	-0.003141	-0.003743
xylR	-0.000545	-0.000156	0.000495	-0.000156	-0.000339
bax	-0.031041	-0.032638	-0.022767	0.030011	-0.008985
malS	-0.000297	-0.000146	0.000600	-0.000195	-0.000406
avtA	0.039943	-0.016670	-0.006821	0.013328	-0.006821
ysaA	0.028133	-0.005276	0.001804	0.001307	-0.003129
yiaJ	-0.002781	-0.002781	-0.002781	-0.002781	0.005508
yiaK	-0.002279	-0.000851	-0.000212	-0.000851	0.001061
yiaL	-0.000055	0.000000	0.000000	0.000000	0.000000
yiaM	-0.000694	-0.000021	0.000604	-0.000021	-0.000583
yiaN	-0.004345	0.045075	-0.003887	-0.003887	0.007672
yiaO	-0.000279	-0.000210	0.000881	0.000133	-0.001017
lyx	-0.002796	-0.002055	0.004678	-0.002055	-0.002661
sgbH	0.000400	0.000400	0.000400	0.000400	-0.000801
sgbU	-0.000591	-0.000846	0.001181	-0.000591	-0.000591
sgbE	-0.000516	-0.000145	-0.000145	0.000291	-0.000145
yiaT	0.008472	-0.001463	0.006006	-0.005561	-0.000522
yiaU	-0.000112	-0.000112	0.000531	-0.000112	-0.000420
yiaV	-0.000376	0.001808	0.000427	-0.000107	-0.000321
yiaW	-0.000325	0.000065	0.002019	0.000065	-0.002094
aldB	-0.000038	-0.000038	0.000625	-0.000038	-0.000589
yiaY	-0.000171	0.009811	0.000446	-0.000107	-0.000339
selB	0.001296	-0.002449	0.001334	-0.000669	-0.000669
selA	0.021046	0.000000	0.000000	0.000000	0.000000
yibF	0.042144	0.000000	0.000000	0.000000	0.000000
yibA	-0.000134	-0.000134	0.000268	-0.000134	-0.000134
yibJ	0.000000	-0.000384	0.000000	0.000000	0.000000
yibG	-0.011104	0.042323	-0.009183	-0.010322	0.018871
yibH	0.000036	0.000036	0.000543	-0.000260	-0.000283
mtlD	0.133466	0.016092	-0.034092	0.016092	0.016092
mtlR	0.058973	0.006840	-0.044433	0.020620	0.020620
yibL	-0.005304	-0.030949	-0.004072	0.008031	-0.004072
lldP	0.000014	-0.000055	0.000616	-0.000055	-0.000562
lldR	-0.001474	0.000000	0.000000	0.000000	0.000000
lldD	0.040751	0.000194	0.000194	0.000194	-0.000389
yibK	0.003401	0.056596	0.005320	-0.008932	0.003474
cysE	-0.000231	-0.007796	0.000462	-0.000231	-0.000231
gpsA	-0.008939	-0.056227	-0.008648	0.017070	-0.008939
secB	0.003807	0.003807	-0.008624	-0.016769	0.024296
grxC	0.001611	0.001611	-0.003239	0.001611	0.001611
yibN	-0.000057	-0.004598	-0.019779	-0.004739	0.023406
gpmM	-0.036510	-0.002314	-0.002129	0.004409	-0.002314
envC	-0.003625	-0.003625	0.007605	-0.004082	-0.003625
yibQ	0.000299	0.000145	0.000145	-0.000290	0.000145
tdh	0.018817	0.025540	0.000000	0.000000	0.000000
kbl	-0.000008	-0.000250	0.000482	-0.000091	-0.000392
htrL	0.017265	-0.004331	-0.004331	0.009350	-0.005172
rfaD	0.052669	-0.044601	0.000000	0.000000	0.000000
rfaF	-0.003705	-0.017413	-0.003705	-0.003705	0.007316
rfaC	-0.024108	-0.023541	-0.023541	0.043569	-0.023541
rfaL	0.027712	0.003437	0.000158	-0.000339	0.000181
waaU	-0.000837	-0.000837	-0.000837	0.002470	-0.001644
rfaZ	0.014773	0.033896	0.003242	-0.005931	0.002629
rfaY	0.000174	0.000174	0.000394	-0.000569	0.000174
rfaJ	0.000000	0.000000	0.000000	0.000000	0.000000
rfaI	-0.001267	-0.000189	0.000698	-0.000189	-0.000510
rfaB	0.005121	0.000084	0.000084	-0.000168	0.000084
rfaS	-0.014093	0.005832	0.000221	-0.000442	0.000221
rfaP	-0.000678	-0.000000	-0.000000	-0.000000	-0.000000
rfaG	0.009119	-0.000000	-0.000000	-0.000000	-0.000000
rfaQ	0.016152	0.010228	-0.012386	0.007711	0.004409
waaA	-0.000190	-0.000245	0.000379	-0.000190	-0.000190
coaD	0.002103	-0.015046	0.002103	-0.012731	0.010315
mutM	-0.001354	-0.001570	-0.001577	-0.001354	0.002917
rpmG	-0.001507	-0.001507	0.002999	-0.001507	-0.001507
rpmB	0.019916	-0.019375	0.001132	-0.002274	0.001132
yicR	0.000211	0.000144	0.000144	-0.000038	-0.000107
dfp	0.037338	0.003395	-0.012082	0.003395	0.008425
dut	0.043891	-0.001029	-0.005657	-0.010450	0.015660
slmA	-0.002385	-0.002723	-0.002385	-0.002385	0.004732
pyrE	-0.002563	0.000072	0.000668	-0.000741	0.000072
rph	0.000092	0.000042	0.000042	-0.000084	0.000042
yicC	-0.004579	-0.022572	-0.004579	0.009015	-0.004579
dinD	-0.022063	-0.021597	0.016386	-0.021250	0.004021
yicG	-0.010714	-0.005909	0.011280	-0.007119	-0.004388
ligB	-0.002855	-0.004052	-0.004052	-0.004052	0.007993
gmk	-0.005525	-0.007262	0.014258	-0.007262	-0.007354
rpoZ	0.016202	0.003417	0.008109	-0.016687	0.008109
spoT	0.000158	0.000037	0.000037	-0.000073	0.000037
recG	0.000000	-0.000130	0.000000	0.000000	0.000000
gltS	0.000125	0.008154	0.000385	-0.000510	0.000125
yicE	-0.002382	-0.009941	0.004725	-0.002382	-0.002382
yicH	0.004552	-0.000871	-0.000200	-0.000719	0.000918
yicI	-0.000175	-0.000137	0.001112	-0.000137	-0.000978
yicJ	-0.005653	-0.005112	-0.005112	-0.005350	0.010277
setC	-0.000318	-0.000031	0.000523	-0.000492	-0.000031
yicL	0.013548	0.000078	0.000078	-0.000157	0.000078
nlpA	0.059891	0.015943	-0.028144	0.011265	0.015557
nepI	-0.001910	-0.001988	-0.001988	0.004364	-0.002410
yicN	0.000080	0.000076	0.000507	-0.000398	-0.000110
yicO	-0.000359	0.000041	0.000681	-0.000004	-0.000678
ade	-0.003434	-0.003434	-0.003035	-0.003783	0.006739
uhpT	0.000000	0.000000	0.000000	0.000000	0.000000
uhpC	-0.005861	-0.007712	0.011491	-0.005861	-0.005861
uhpB	-0.000318	-0.000266	0.000360	-0.000094	-0.000266
uhpA	0.115664	0.005397	0.005397	-0.005462	-0.000003
ilvN	-0.000523	-0.003529	-0.000523	-0.001623	0.002138
ivbL	0.053678	-0.010450	-0.003643	-0.020475	0.023007
emrD	-0.001336	-0.000003	0.000452	-0.000449	-0.000003
yidF	-0.000253	-0.000200	0.000400	-0.000200	-0.000200
yidG	0.010239	-0.000120	0.000557	-0.000120	-0.000438
yidH	-0.001703	-0.001723	0.004031	-0.001723	-0.002337
yidI	0.012190	0.008097	-0.016661	0.008097	0.008097
yidJ	0.002470	0.000000	0.000000	0.000000	0.000000
yidK	-0.000076	-0.002699	0.007694	-0.002581	-0.005221
yidL	-0.000168	-0.000168	0.000336	-0.000168	-0.000168
glvG	0.000012	0.000093	0.000093	0.000402	-0.000495
glvB	-0.000554	0.000000	0.000000	0.000000	0.000000
glvC	-0.000451	-0.000423	0.001230	-0.000423	-0.000811
yidP	0.000087	0.003284	0.000087	0.000087	-0.000174
yidE	0.024954	0.000000	0.000000	0.000000	0.000000
ibpB	-0.000178	-0.000157	0.000315	-0.000157	-0.000157
ibpA	-0.000859	-0.000916	-0.000859	-0.001321	0.002172
yidR	0.006149	0.011943	0.000245	-0.000491	0.000245
cbrA	-0.001223	-0.000236	0.003026	-0.000587	-0.002457
dgoT	-0.003205	-0.003419	-0.003158	-0.003158	0.006248
dgoA	-0.000200	-0.000155	0.000407	-0.000252	-0.000155
dgoK	-0.002543	-0.000915	0.002011	-0.000915	-0.001102
b3694	0.000000	-0.000058	0.000000	0.000000	0.000000
yidW	-0.001750	-0.001265	0.003413	-0.001265	-0.002169
yidX	0.023686	-0.000187	0.000461	-0.000370	-0.000092
yidA	0.000000	-0.015068	0.000000	0.000000	0.000000
yidB	0.000018	-0.000145	0.000570	0.000018	-0.000589
gyrB	-0.001337	-0.001337	-0.001337	-0.001337	0.002663
recF	0.000169	-0.000714	0.000169	0.000441	-0.000610
dnaN	0.018922	0.000586	0.000586	0.001074	-0.001665
dnaA	-0.004602	-0.012255	0.014735	-0.007379	-0.007739
rpmH	0.049967	0.005722	0.005722	-0.007704	0.001872
rnpA	0.018082	-0.024549	-0.000396	0.000790	-0.000396
yidC	0.032825	-0.008693	-0.010452	0.008579	0.001659
mnmE	0.046748	-0.003175	-0.002986	-0.014523	0.016924
tnaC	-0.001725	-0.000934	0.003467	-0.000590	-0.002901
tnaA	-0.004375	0.021767	0.001861	-0.002548	0.000676
tnaB	-0.037332	-0.028533	-0.028934	-0.030062	0.053589
mdtL	0.000101	0.000101	0.000101	-0.000202	0.000101
yidZ	0.005783	-0.000314	0.000000	0.000000	0.000000
yieE	0.003237	0.003237	0.003542	0.003237	-0.006860
yieF	0.010874	-0.000573	0.000497	-0.000276	-0.000222
yieG	0.013529	-0.000878	-0.000878	0.002773	-0.001909
yieH	-0.001310	-0.001591	0.003161	-0.001699	-0.001479
cbrB	-0.019337	-0.027735	-0.027735	-0.032543	0.054636
cbrC	0.000183	0.000183	0.000183	0.000183	-0.000366
yieK	0.001160	0.047167	0.001160	0.001160	-0.002329
yieL	-0.001689	0.000000	0.000000	0.000000	0.000000
bglH	-0.000793	-0.000249	0.000498	-0.000249	-0.000249
bglB	-0.021983	-0.021500	0.026439	-0.021500	-0.006330
bglF	-0.000153	-0.008801	0.000321	-0.000168	-0.000153
bglG	-0.012405	-0.012524	-0.012405	-0.013142	0.024472
phoU	0.013050	-0.000174	0.000348	-0.000174	-0.000174
pstB	0.015455	0.000132	0.000132	-0.000265	0.000132
pstA	0.045034	-0.057484	0.000957	0.000957	-0.001921
pstS	0.007408	0.003711	-0.008661	0.003711	0.004821
glmS	-0.004569	-0.004396	0.008247	-0.004183	-0.004183
glmU	0.004981	0.004920	-0.015596	0.010250	0.004920
atpC	0.027743	-0.011002	0.005606	-0.002830	-0.002830
atpD	0.009533	-0.034488	0.000626	-0.000313	-0.000313
atpG	0.021654	-0.019886	-0.002952	0.005844	-0.002952
atpA	0.039316	-0.044983	-0.008015	0.002865	0.005038
atpH	0.006678	-0.003823	-0.003604	-0.003568	0.007084
atpF	-0.000911	-0.008344	-0.000911	-0.000911	0.001815
atpE	0.014125	0.019863	-0.009264	0.002688	0.006423
atpB	0.028463	-0.020263	0.000245	-0.000491	0.000245
atpI	0.003539	-0.012800	0.000933	-0.002426	0.001482
gidB	-0.004779	-0.074255	0.012269	0.008954	-0.022041
mnmG	-0.000234	-0.000406	0.000468	-0.000234	-0.000234
mioC	-0.001330	-0.049270	-0.001330	0.002648	-0.001330
asnC	-0.001109	-0.001532	0.002210	-0.001109	-0.001109
asnA	-0.011575	-0.039393	-0.007887	0.015358	-0.007887
viaA	-0.002452	-0.002452	-0.002816	0.002356	0.000445
ravA	0.005678	0.000034	0.000034	-0.000069	0.000034
kup	-0.000000	-0.020587	-0.000000	-0.000000	-0.000000
rbsD	-0.004033	-0.009909	-0.009690	-0.010432	0.019448
rbsA	-0.007570	-0.092023	-0.007570	0.014756	-0.007570
rbsC	-0.008290	-0.008374	0.016287	-0.008290	-0.008467
rbsB	-0.027131	-0.020411	-0.000761	0.001518	-0.000761
rbsK	0.000000	-0.030061	0.000000	0.000000	0.000000
rbsR	-0.005577	-0.005520	-0.005520	-0.006155	0.011445
hsrA	-0.004956	-0.004936	0.009128	-0.004055	-0.005220
yieP	-0.003668	-0.009356	-0.008522	0.016558	-0.008522
yifA	0.000313	0.000007	0.000313	0.000313	-0.000626
pssR	0.007329	0.000000	0.000000	0.000000	0.000000
yifE	-0.004578	-0.016326	0.000474	-0.012734	0.011911
ilvL	-0.021847	-0.007176	-0.005246	-0.005246	0.010305
ilvG_1	0.021791	0.000249	-0.000499	0.000249	0.000249
b3768	0.048489	-0.018175	0.000000	0.000000	0.000000
ilvM	0.016331	-0.006163	-0.005288	0.003328	0.001911
ilvE	0.029784	-0.004206	0.000335	-0.000370	0.000035
ilvD	0.023896	0.001026	0.002012	0.001445	-0.003478
ilvA	-0.004511	-0.011603	-0.004623	-0.004623	0.009101
ilvY	-0.074334	-0.003410	0.001578	0.001812	-0.003410
ilvC	-0.000544	-0.036050	-0.018485	-0.000544	0.018252
ppiC	0.024187	-0.048251	0.038282	-0.011843	-0.029304
b3776	-0.000019	-0.000019	-0.000019	0.000239	-0.000220
yifN	0.000420	0.016639	0.000565	-0.001056	0.000489
rep	0.008525	-0.041191	0.062375	-0.038308	-0.031527
gpp	0.108224	-0.000935	0.000175	0.000175	-0.000350
rhlB	0.000514	-0.007322	0.000212	-0.000106	-0.000106
trxA	0.039274	0.032193	-0.006744	0.000645	0.006004
rhoL	0.047818	-0.038035	-0.001574	-0.009927	0.011239
rho	0.026430	-0.025875	0.000306	0.000306	-0.000612
rfe	0.021761	-0.007398	0.000000	0.000000	0.000000
wzzE	-0.000599	-0.001032	0.000707	-0.000109	-0.000599
rffE	-0.002272	-0.003384	-0.002272	0.004509	-0.002272
rffD	-0.000743	-0.047555	-0.000743	-0.000743	0.001483
rffG	-0.000581	-0.003977	-0.002566	0.008359	-0.005922
rffH	-0.002487	-0.002487	-0.002487	0.005577	-0.003145
rffC	0.049053	0.000049	0.000331	0.000424	-0.000756
rffA	-0.002016	-0.002723	-0.002016	0.004004	-0.002016
wzxE	-0.000134	-0.000132	0.000846	-0.000132	-0.000716
wzyE	-0.001394	-0.001199	-0.000256	0.001451	-0.001199
rffM	-0.022624	-0.055423	0.013954	0.008257	-0.023121
yifK	-0.000248	-0.002299	0.000064	0.000184	-0.000248
aslB	-0.004605	-0.004605	-0.004605	-0.004605	0.009067
aslA	-0.000926	0.005312	0.000994	-0.000143	-0.000853
hemY	0.056573	0.013312	-0.027913	0.013312	0.013312
hemX	0.000000	-0.031512	0.000000	0.000000	0.000000
hemD	-0.000076	-0.044606	0.000182	-0.000106	-0.000076
hemC	0.012374	-0.000609	0.000000	0.000000	0.000000
cyaA	0.068122	0.003827	-0.021756	0.010483	0.010483
cyaY	0.000264	0.000104	0.000104	0.000351	-0.000456
b3808	-0.003141	-0.003925	-0.003208	0.006520	-0.003387
yigA	0.036628	-0.059864	0.009005	-0.004296	-0.004850
xerC	-0.004600	-0.025230	-0.003637	0.008075	-0.004552
yigB	-0.000514	-0.000514	-0.000514	0.001026	-0.000514
uvrD	0.019088	-0.000333	-0.044963	0.007708	0.033603
b3814	-0.006684	0.007639	-0.006200	-0.006200	0.012140
yigE	-0.000297	-0.000297	0.000872	-0.000576	-0.000297
corA	-0.026081	-0.020529	-0.019758	0.009096	0.010007
yigF	-0.015686	0.052077	-0.015686	-0.015783	0.029856
yigG	-0.046257	-0.037145	-0.042401	0.026888	0.012478
rarD	-0.009515	-0.008543	-0.004337	0.012591	-0.008543
yigI	0.004391	0.004391	0.007123	-0.008259	0.000998
pldA	0.016078	0.029466	0.006557	-0.013420	0.006557
recQ	0.003894	-0.000282	0.000072	0.000072	-0.000145
rhtB	-0.000522	-0.000522	0.001406	-0.000522	-0.000888
pldB	0.021637	-0.050539	-0.001824	0.000043	0.001774
yigL	-0.001266	-0.000602	0.000755	-0.000378	-0.000378
yigM	-0.000319	-0.003423	0.000638	-0.000319	-0.000319
metE	0.029771	-0.011122	-0.008719	-0.008463	0.016689
udp	0.053684	-0.007578	0.004062	0.004062	-0.008241
rmuC	0.000235	0.000065	0.000527	-0.000407	-0.000120
ubiE	-0.010127	-0.077421	-0.004671	0.014414	-0.010127
yigP	-0.011124	-0.012057	0.021428	-0.011124	-0.011124
ubiB	0.000216	-0.000388	0.003240	0.000216	-0.003482
tatA	-0.014401	-0.000360	-0.000360	-0.000199	0.000559
tatB	-0.002640	-0.058941	-0.002640	0.005233	-0.002640
tatC	0.001673	0.001673	0.001673	-0.003365	0.001673
tatD	0.000121	-0.000669	0.000121	0.000316	-0.000437
yigW_2	-0.018712	-0.018271	-0.014708	0.030925	-0.017958
rfaH	-0.017162	-0.029766	-0.015871	0.031399	-0.017318
ubiD	-0.004282	-0.014054	-0.004282	0.010756	-0.006680
fre	0.036576	-0.000589	0.000511	-0.001024	0.000511
fadA	-0.000276	-0.000673	0.001234	-0.000371	-0.000865
fadB	-0.011064	-0.011803	-0.011064	-0.011752	0.021955
pepQ	0.061681	-0.014670	-0.014139	-0.014622	0.027407
yigZ	0.009837	-0.093018	0.007122	0.002834	-0.010141
trkH	0.000394	0.000394	0.002225	-0.000403	-0.001832
hemG	0.031737	-0.014420	-0.002808	-0.002808	0.005563
mobB	0.000000	0.000000	0.000000	0.000000	0.000000
mobA	0.000213	0.000213	0.000213	0.000213	-0.000427
yihD	0.003758	0.004643	0.003758	-0.007614	0.003758
rdoA	-0.000255	-0.010266	0.000497	-0.000242	-0.000255
dsbA	-0.000452	0.000000	0.000000	0.000000	0.000000
yihF	-0.012831	-0.012764	-0.012278	-0.012841	0.024079
yihG	-0.000169	-0.000110	0.000421	-0.000110	-0.000312
polA	0.019759	-0.014311	-0.010617	0.008092	0.002315
spf	0.036706	0.010633	-0.075768	-0.005460	0.069144
yihA	-0.000185	-0.000334	0.000603	-0.000167	-0.000436
yihI	0.002399	-0.000415	0.001566	0.000611	-0.002185
hemN	0.060369	-0.000835	0.000386	0.000386	-0.000773
glnG	0.022326	-0.006635	-0.006252	-0.006981	0.012938
glnL	-0.001787	-0.000500	0.000375	0.000124	-0.000500
typA	0.027350	-0.003258	0.002219	0.007676	-0.010085
yihL	-0.000758	-0.000150	-0.000150	0.000301	-0.000150
yihM	-0.002250	-0.002250	-0.002250	-0.002250	0.004466
yihN	-0.000117	-0.000117	0.000425	-0.000117	-0.000308
ompL	0.000049	0.000049	0.000049	0.000049	-0.000098
yihO	0.004423	0.006051	0.004445	-0.009029	0.004445
yihP	0.000071	0.000071	0.000618	0.000071	-0.000690
yihQ	-0.000235	-0.000198	0.000397	-0.000198	-0.000198
yihR	-0.009789	-0.010923	-0.009256	0.018661	-0.010025
yihS	-0.000027	-0.000007	0.000596	-0.000007	-0.000591
yihT	-0.001140	0.037428	0.000504	-0.000116	-0.000389
yihU	-0.000357	-0.000379	0.001262	-0.000357	-0.000908
yihV	-0.008892	0.035155	-0.008892	-0.011555	0.019748
yihW	-0.014811	-0.018969	-0.014811	-0.014811	0.028188
yihX	-0.007745	-0.008812	-0.007170	0.015756	-0.009028
dtd	0.000115	0.000115	0.000645	-0.000518	-0.000128
yiiD	-0.012691	-0.013137	0.024321	-0.012691	-0.012691
yiiE	-0.013580	-0.013580	-0.013580	-0.013768	0.026121
yiiF	-0.000208	-0.000208	0.000735	-0.000208	-0.000529
fdhE	0.007249	-0.078036	-0.005830	0.011431	-0.005830
fdoI	0.007731	-0.077088	-0.000043	-0.000043	0.000087
fdoH	0.040838	-0.030669	0.000749	0.000351	-0.001102
fdoG	0.021475	-0.011311	0.000102	0.000397	-0.000500
fdhD	0.001813	-0.019983	0.000000	0.000000	0.000000
frvR	0.000025	-0.000288	0.000025	0.000458	-0.000483
frvX	0.078277	0.064184	0.007110	-0.014248	0.006795
frvB	-0.000080	-0.000101	0.000407	-0.000101	-0.000307
frvA	-0.002521	-0.001798	0.004696	-0.001798	-0.002937
rhaD	-0.000048	-0.000290	0.001047	0.000350	-0.001401
rhaA	-0.000134	-0.000068	-0.000068	0.000274	-0.000206
rhaB	-0.000609	-0.000063	0.000575	-0.000063	-0.000513
rhaS	-0.001832	-0.001304	0.002869	-0.001304	-0.001579
rhaR	0.000602	0.030831	0.001476	-0.001375	-0.000106
sodA	0.023757	0.000398	0.000398	0.000252	-0.000651
kdgT	0.000473	0.000473	0.000473	0.001213	-0.001691
yiiM	0.000014	-0.000076	0.000153	-0.000166	0.000014
cpxA	-0.000137	-0.000210	0.000273	-0.000137	-0.000137
cpxR	-0.008397	-0.038387	-0.009532	-0.008397	0.017392
b3913	-0.037743	-0.092757	0.072874	-0.041478	-0.041728
b3914	-0.082820	-0.138091	0.041188	0.030648	-0.082284
fieF	-0.010546	-0.020368	-0.009906	0.000526	0.009170
pfkA	0.024847	-0.010973	0.007360	-0.002834	-0.004623
sbp	0.034519	0.001130	-0.002270	0.001130	0.001130
cdh	-0.002138	-0.002159	-0.002138	0.004245	-0.002138
tpiA	0.065309	0.022276	-0.009850	0.004826	0.004859
yiiQ	0.001919	0.004266	-0.026668	0.001225	0.023965
yiiR	-0.001773	-0.002416	-0.001773	0.003525	-0.001773
yiiS	-0.000473	-0.000473	-0.000473	-0.000806	0.001277
uspD	0.009723	0.029445	-0.001270	-0.008650	0.009723
fpr	-0.002713	0.013018	-0.008534	0.005943	0.002459
glpX	-0.007209	-0.008232	0.001472	0.000813	-0.002293
glpK	-0.008816	-0.054379	-0.007984	-0.008613	0.016136
glpF	-0.010921	-0.064423	-0.010140	0.009129	0.000797
yiiU	0.014833	0.010028	-0.014713	0.006834	0.007513
rraA	0.014534	-0.001240	0.000043	-0.000086	0.000043
menA	-0.007171	-0.010471	-0.007903	-0.007903	0.015387
hslU	-0.001941	0.032737	-0.001941	0.003857	-0.001941
hslV	-0.000403	0.005004	0.000000	0.000000	0.000000
ftsN	0.001790	0.021253	0.001790	-0.011654	0.009599
cytR	0.000071	-0.014699	0.000198	-0.000210	0.000012
priA	-0.001062	-0.000197	0.000341	-0.000171	-0.000171
rpmE	0.024742	0.001385	0.001385	-0.002784	0.001385
yiiX	0.007247	-0.007784	0.007247	-0.014866	0.007247
metJ	0.048268	-0.015482	-0.028249	-0.018442	0.043185
metB	-0.009622	-0.009622	-0.009622	-0.033366	0.039756
metL	0.018889	-0.001332	0.000184	-0.000222	0.000037
metF	0.041907	-0.001737	-0.032167	-0.002424	0.032198
katG	0.006319	-0.056929	-0.012053	-0.002671	0.014312
yijE	0.000410	0.000272	0.000272	0.000158	-0.000431
yijF	0.000090	0.000090	0.000090	-0.000181	0.000090
gldA	0.009711	0.000382	0.000382	-0.000764	0.000382
fsaB	0.000020	0.000020	0.000586	0.000020	-0.000607
ptsA	-0.002363	-0.001040	0.002701	-0.001040	-0.001674
frwC	-0.002599	-0.002757	-0.002599	0.000228	0.002357
frwB	-0.006949	-0.006525	0.013400	-0.006525	-0.007191
pflD	-0.004307	-0.004307	-0.003890	-0.004322	0.008098
pflC	0.000237	0.006484	0.000237	-0.000277	0.000040
frwD	-0.002171	-0.000622	0.001242	-0.000622	-0.000622
yijO	-0.004418	-0.003223	-0.002861	-0.002917	0.005720
yijP	0.074625	0.011513	0.008718	-0.020971	0.011513
ppc	-0.004087	-0.004087	0.000000	0.000000	0.000000
argE	-0.020904	-0.081205	-0.028917	0.048266	-0.023711
argC	0.040967	-0.006126	0.000000	0.000000	0.000000
argB	0.036543	-0.033849	0.000000	0.000000	0.000000
argH	-0.012129	-0.071398	0.004043	0.015855	-0.020695
oxyR	-0.001040	-0.067791	0.000727	0.000311	-0.001040
sthA	0.089390	-0.012237	0.000000	0.000000	0.000000
fabR	0.002887	-0.017509	-0.010759	0.007662	0.002887
yijD	0.036818	-0.020729	0.000476	-0.000238	-0.000238
trmA	-0.000053	-0.048384	0.000238	-0.000137	-0.000101
btuB	-0.013065	-0.014022	-0.010230	-0.012730	0.022085
murI	-0.001679	-0.002565	-0.001393	-0.001679	0.003056
murB	-0.004972	-0.009997	-0.004340	0.005111	-0.000823
birA	0.071392	0.001643	0.001643	-0.003304	0.001643
coaA	0.002284	-0.011594	-0.021930	-0.011252	0.031335
b3975	-0.001238	-0.000362	0.001269	-0.000014	-0.001259
secE	0.029922	0.000116	0.000420	-0.000536	0.000116
nusG	-0.012207	-0.052144	0.013846	-0.008758	-0.005433
rplK	0.010971	-0.008589	-0.000850	-0.000850	0.001695
rplA	-0.001022	-0.000526	-0.000526	0.001049	-0.000526
